"","test","effect_xy","acc","error"
"1","rf_arht",-0.0999999999999999,0.533,0.0157769135131052
"2","rf_arht",-0.3,0.497,0.015811103693291
"3","rf_arht",-0.5,0.517,0.0158022466757104
"4","rf_arht",-0.7,0.506,0.0158102498398982
"5","rf_arht",-0.9,0.485,0.0158042715744826
"6","rf_arht",-1.1,0.497,0.015811103693291
"7","rf_arht",-1.3,0.504,0.0158108823283206
"8","rf_arht",-1.5,0.494,0.0158102498398982
"9","rf_arht",0.1,0.536,0.0157703519301251
"10","rf_arht",0.3,0.5,0.0158113883008419
"11","rf_pillai",-0.0999999999999999,0.555,0.0157154382694216
"12","rf_pillai",-0.3,0.523,0.0157946509932952
"13","rf_pillai",-0.5,0.513,0.0158060431481127
"14","rf_pillai",-0.7,0.479,0.015797436500901
"15","rf_pillai",-0.9,0.487,0.0158060431481127
"16","rf_pillai",-1.1,0.512,0.0158068339650924
"17","rf_pillai",-1.3,0.497,0.015811103693291
"18","rf_pillai",-1.5,0.516,0.0158032907965398
"19","rf_pillai",0.1,0.577,0.0156227718411299
"20","rf_pillai",0.3,0.645,0.0151319199046255
"21","rf_q3",-0.0999999999999999,0.533,0.0157769135131052
"22","rf_q3",-0.3,0.532,0.0157789733506334
"23","rf_q3",-0.5,0.502,0.0158112618092295
"24","rf_q3",-0.7,0.496,0.0158108823283206
"25","rf_q3",-0.9,0.492,0.0158093643135959
"26","rf_q3",-1.1,0.516,0.0158032907965398
"27","rf_q3",-1.3,0.511,0.0158075614817719
"28","rf_q3",-1.5,0.51,0.0158082257068907
"29","rf_q3",0.1,0.511,0.0158075614817719
"30","rf_q3",0.3,0.566,0.0156730341670016
